font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Esagil,0x1234e,URU TIMES URUDA,model,11,0.0021,3,0.4726,0,0,0,0.15604,True
Esagil,0x1234f,URUDA,model,7,0.0002,3,0.3101,0,0,2,0.15609,True
Esagil,0x12351,USH,model,6,0.0013,3,0.2838,1,0,0,0.15589,True
Esagil,0x12352,USH TIMES A,model,10,0.0024,3,0.4862,1,1,1,0.15642,True
Esagil,0x12364,ZI OVER ZI & A,model,12,0.0018,3,0.4726,0,0,2,0.15602,True
Esagil,0x1237d,SIGN HUSH,model,9,0.0014,3,0.4336,0,0,1,0.15586,True
Esagil,0x1238c,MESH,model,5,0.0002,3,0.1807,0,0,1,0.15673,True
Assurbanipal,0x12010,AB TIMES IGI GUNU,model,14,0.004,2,0.5577,0,0,0,1.0,True
Assurbanipal,0x12015,AB GUNU,model,9,0.0013,2,0.4516,0,0,0,1.0,True
Assurbanipal,0x12018,AB2 TIMES GAN2 TENU,model,9,0.0003,2,0.4459,0,0,0,1.0,True
Assurbanipal,0x12023,AL TIMES GISH,model,9,0.0015,2,0.5242,1,1,0,1.0,True
Assurbanipal,0x12054,BUR2,model,9,0.0017,2,0.5808,0,0,0,1.0,True
Assurbanipal,0x12070,DARA3,model,12,0.0015,2,0.5215,0,0,0,1.0,True
Assurbanipal,0x12071,DARA4,model,13,0.0001,2,0.5188,0,1,0,1.0,True
Assurbanipal,0x1207b,DU OVER DU,model,9,0.0003,2,0.4707,1,0,0,1.0,True
Assurbanipal,0x120ab,EZEN TIMES IGI GUNU,model,15,0.0019,2,0.6012,0,1,0,1.0,True
Assurbanipal,0x120ba,GA2 TIMES A PLUS IGI,model,11,0.0003,2,0.5732,0,0,0,1.0,True
Assurbanipal,0x120cd,GA2 TIMES GI,model,12,0.001,2,0.588,0,0,0,1.0,True
Assurbanipal,0x120d3,GA2 TIMES HAL PLUS LA,model,12,0.0017,2,0.5956,0,0,0,1.0,True
Assurbanipal,0x120ff,GESHTIN TIMES KUR,model,9,0.0026,2,0.457,0,0,0,1.0,True
Assurbanipal,0x12105,GI4 OVER GI4,model,20,0.003,2,0.5708,0,1,0,1.0,True
Assurbanipal,0x1210c,GIR3 TIMES GAN2 TENU,model,9,0.0003,2,0.4459,0,0,0,1.0,True
Assurbanipal,0x1214d,IL2,model,15,0.0029,2,0.5844,0,0,0,1.0,True
Assurbanipal,0x12198,KAL TIMES BAD,model,8,0.0005,2,0.4769,1,0,0,1.0,True
Assurbanipal,0x121a1,KI TIMES BAD,model,9,0.0017,2,0.4879,0,0,0,1.0,True
Assurbanipal,0x121b2,KUN,model,11,0.001,2,0.5964,0,0,0,1.0,True
Assurbanipal,0x121b9,LAGAB TIMES A,model,7,0.0039,2,0.4761,0,0,0,1.0,True
Assurbanipal,0x121bc,LAGAB TIMES A PLUS LAL,model,9,0.0001,2,0.452,0,0,0,1.0,True
Assurbanipal,0x121c5,LAGAB TIMES GAR,model,8,0.003,2,0.5018,0,0,0,1.0,True
Assurbanipal,0x121e1,LAGAB TIMES SUM,model,11,0.0003,2,0.5323,0,0,0,1.0,True
Assurbanipal,0x121e6,LAGAB TIMES U PLUS A,model,8,0.0043,2,0.5151,1,2,0,1.0,True
Assurbanipal,0x121e9,LAGAB TIMES UD,model,7,0.003,2,0.482,0,2,0,1.0,True
Assurbanipal,0x121fc,LU TIMES BAD,model,9,0.0,2,0.5395,1,0,0,1.0,True
Assurbanipal,0x12213,LU2 OPPOSING LU2,model,12,0.0026,2,0.575,0,0,0,1.0,True
Assurbanipal,0x12216,LU3,model,9,0.0002,2,0.4762,0,1,0,1.0,True
Assurbanipal,0x1221d,LUM,model,7,0.0,2,0.4781,1,0,0,1.0,True
Assurbanipal,0x12231,MURGU2,model,7,0.0,2,0.4781,1,0,0,1.0,True
Assurbanipal,0x12242,NAGA TIMES SHU TENU,model,17,0.0027,2,0.5708,0,0,0,1.0,True
Assurbanipal,0x1225e,NINDA2 TIMES U2 PLUS ASH,model,13,0.0001,2,0.5946,0,1,0,1.0,True
Assurbanipal,0x12266,NUN LAGAR TIMES SAL,model,13,0.0002,2,0.5457,0,0,0,1.0,True
Assurbanipal,0x12294,SAG NUTILLU,model,6,0.0021,2,0.3924,0,0,0,1.0,True
Assurbanipal,0x12297,SAG TIMES DU,model,12,0.003,2,0.5409,0,0,0,1.0,True
Assurbanipal,0x1229e,SAG TIMES NUN,model,12,0.0,2,0.5679,0,0,0,1.0,True
Assurbanipal,0x122a0,SAG TIMES SHID,model,13,0.0029,2,0.6022,0,0,0,1.0,True
Assurbanipal,0x122a6,SAG TIMES USH,model,13,0.0003,2,0.548,0,0,0,1.0,True
Assurbanipal,0x122b0,SHA3 TIMES BAD,model,7,0.0003,2,0.4737,1,0,0,1.0,True
Assurbanipal,0x122b2,SHA3 TIMES NE,model,14,0.003,2,0.5977,0,0,0,1.0,True
Assurbanipal,0x122b3,SHA3 TIMES SHU2,model,7,0.0002,2,0.484,0,0,0,1.0,True
Assurbanipal,0x122b7,SHA6 (bad!),model,17,0.0019,2,0.5922,0,1,0,1.0,True
Assurbanipal,0x122c5,SHID TIMES IM,model,13,0.0008,2,0.5485,0,0,0,1.0,True
Assurbanipal,0x122ca,SHIM TIMES DIN,model,13,0.0001,2,0.4977,1,0,0,1.0,True
Assurbanipal,0x122d0,SHIM TIMES MUG,model,13,0.0,2,0.4967,1,0,0,1.0,True
Assurbanipal,0x122d4,SHIR TENU,model,5,0.0002,2,0.4143,0,0,0,1.0,True
Assurbanipal,0x122ec,TA ASTERISK,model,6,0.002,2,0.4002,1,0,0,1.0,True
Assurbanipal,0x122ee,TA TIMES MI,model,12,0.0032,2,0.547,0,0,0,1.0,True
Assurbanipal,0x12320,,model,12,0.0026,2,0.5131,0,0,0,1.0,True
Assurbanipal,0x12330,UR2 TIMES NUN,model,12,0.0041,2,0.6327,0,1,0,1.0,True
Assurbanipal,0x12334,UR4,model,6,0.0008,2,0.4367,0,0,0,1.0,True
Assurbanipal,0x12336,URI3,model,12,0.0008,2,0.5731,2,0,0,1.0,True
Assurbanipal,0x12340,URU TIMES GU,model,11,0.0001,2,0.5545,0,1,0,1.0,True
Assurbanipal,0x12341,URU TIMES HA,model,10,0.0036,2,0.5621,0,1,0,1.0,True
Assurbanipal,0x12353,USH TIMES KU,model,11,0.0029,2,0.5165,0,0,0,1.0,True
Assurbanipal,0x12376,,model,12,0.0027,2,0.5281,0,1,0,1.0,True
Assurbanipal,0x12377,,model,14,0.0049,2,0.5586,0,0,0,1.0,True
Assurbanipal,0x1238f,,model,8,0.0,2,0.4347,1,1,0,1.0,True
Assurbanipal,0x12390,,model,8,0.0,2,0.4347,1,1,0,1.0,True
Assurbanipal,0x12393,,model,5,0.0035,2,0.3103,0,0,0,1.0,True
Esagil,0x1200f,AB TIMES HA,model,11,0.0006,2,0.4671,0,0,0,0.15686,True
Esagil,0x1201d,AK,model,6,0.0007,2,0.3791,0,0,0,0.15614,True
Esagil,0x12033,APIN,model,6,0.0013,2,0.4401,0,0,1,0.1558,True
Esagil,0x12034,ARAD,model,5,0.0003,2,0.3675,0,0,1,0.15586,True
Esagil,0x12046,BALAG,model,12,0.0001,2,0.4956,2,0,0,0.15622,True
Esagil,0x1206e,DAM,model,10,0.0002,2,0.5097,0,0,0,0.15591,True
Esagil,0x12072,DI,model,6,0.0024,2,0.3888,0,0,1,0.1569,True
Esagil,0x1207d,DU SHESHIG,model,9,0.0012,2,0.4895,1,0,0,0.15578,True
Esagil,0x12085,DUN3,model,7,0.0037,2,0.4961,0,0,0,0.1561,True
Esagil,0x12086,DUN3 GUNU,model,7,0.0037,2,0.4961,0,0,0,0.1561,True
Esagil,0x12096,EL,model,9,0.0005,2,0.5241,0,0,2,0.15647,True
Esagil,0x12098,EN TIMES GAN2,model,12,0.0023,2,0.5409,0,0,0,0.15677,True
