font,codepoint,name,in_font_per_metadata
Santakku,0x120b4,EZEN TIMES UD,False
Santakku,0x120b6,GA GUNU,False
Santakku,0x120b8,GA2 TIMES A PLUS DA PLUS HA,False
Santakku,0x120b9,,False
Santakku,0x120ba,GA2 TIMES A PLUS IGI,False
Santakku,0x120bb,,False
Santakku,0x120bd,GÁ×A,False
Santakku,0x120be,E2 TIMES A PLUS HA PLUS DA(sic!),False
Santakku,0x120bf,GA2 TIMES BAD,False
Santakku,0x120c0,,False
Santakku,0x120c1,,False
Santakku,0x120c2,GA2 TIMES BUR PLUS RA,False
Santakku,0x120c3,GA2 TIMES DA,False
Santakku,0x120c4,GA2 TIMES DI,False
Santakku,0x120c5,GA2 TIMES DIM TIMES SHE,False
Santakku,0x120c6,GA2 TIMES DUB,False
Santakku,0x120c7,,False
Santakku,0x120c8,GA2 TIMES EL PLUS LA,False
Santakku,0x120c9,GA2 TIMES EN,False
Santakku,0x120ca,GA2 TIMES EN TIMES GAN2 TENU,False
Santakku,0x120cb,GA2 TIMES GAN2 TENU,False
Santakku,0x120cc,GA2 TIMES GAR,False
Santakku,0x120cd,GA2 TIMES GI,False
Santakku,0x120ce,GA2 TIMES GI4,False
Santakku,0x120cf,,False
Santakku,0x120d0,GA2 TIMES GIR2 PLUS SU,False
Santakku,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,False
Santakku,0x120d2,,False
Santakku,0x120d3,GA2 TIMES HAL PLUS LA,False
Santakku,0x120d4,GA2 TIMES HI PLUS LI,False
Santakku,0x120d5,GA2 TIMES HUB2,False
Santakku,0x120d6,GA2 TIMES IGI GUNU,False
Santakku,0x120d7,GA2 TIMES ISH PLUS HU PLUS ASH,False
Santakku,0x120d8,GA2 TIMES KAK,False
Santakku,0x120d9,GA2 TIMES KASKAL,False
Santakku,0x120da,,False
Santakku,0x120db,GA2 TIMES KID PLUS LAL,False
Santakku,0x120dc,GA2 TIMES KU3 PLUS AN,False
Santakku,0x120dd,,False
Santakku,0x120de,GA2 TIMES ME PLUS EN,False
Santakku,0x120df,GA2 TIMES MI(standard),False
Santakku,0x120e0,GA2 TIMES NUN,False
Santakku,0x120e3,GA2 TIMES SAL,False
Santakku,0x120e4,GA2 TIMES SAR,False
Santakku,0x120e5,GA2 TIMES SHE,False
Santakku,0x120e6,GA2 TIMES SHE PLUS TUR,False
Santakku,0x120e7,GA2 TIMES SHID,False
Santakku,0x120e8,GA2 TIMES SUM,False
Santakku,0x120e9,GA2 TIMES TAK4,False
Santakku,0x120ea,GA2 TIMES U,False
Santakku,0x120eb,GA2 TIMES UD,False
Santakku,0x120ec,,False
Santakku,0x120ed,,False
Santakku,0x120ef,,False
Santakku,0x120f1,GAD OVER GAD GAR OVER GAR,False
Santakku,0x120f3,GAL GAD OVER GAD GAR OVER GAR,False
Santakku,0x120f4,GALAM,False
Santakku,0x120f8,GAN2 TENU,False
Santakku,0x120f9,GAN2 OVER GAN2,False
Santakku,0x120fa,GAN2 CROSSING GAN2,False
Santakku,0x120fd,GASHAN,False
Santakku,0x120ff,GESHTIN TIMES KUR,False
Santakku,0x12101,GI TIMES E,False
Santakku,0x12102,,False
Santakku,0x12105,GI4 OVER GI4,False
Santakku,0x12106,GI4 CROSSING GI4,False
Santakku,0x12107,GIDIM,False
Santakku,0x1210b,GIR3 TIMES A PLUS IGI,False
Santakku,0x1210c,GIR3 TIMES GAN2 TENU,False
Santakku,0x1210d,GIR3 TIMES IGI,False
Santakku,0x1210e,GIR3 TIMES LU PLUS IGI,False
Santakku,0x1210f,GIR3 TIMES PA,False
Santakku,0x12110,GISAL,False
Santakku,0x12113,GISH TIMES BAD,False
Santakku,0x12114,,False
Santakku,0x12115,GISH TENU,False
Santakku,0x12117,GU CROSSING GU,False
Santakku,0x1211a,,False
Santakku,0x1211b,GU2 TIMES NUN,False
Santakku,0x1211c,,False
Santakku,0x1211d,GU2 GUNU & KAK,False
Santakku,0x1211f,GUD TIMES A PLUS KUR,False
Santakku,0x12121,GUD OVER GUD LUGAL,False
Santakku,0x12126,GUR7,False
Santakku,0x12127,GURUN,False
Santakku,0x12128,GURUSH,False
Santakku,0x1212a,HA TENU,False
Santakku,0x1212e,HI TIMES ASH,False
Santakku,0x12131,HI TIMES DISH,False
Santakku,0x12133,HI TIMES KIN,False
Santakku,0x12135,HI TIMES SHE,False
Santakku,0x12136,HI TIMES U,False
Santakku,0x12139,,False
Santakku,0x1213a,,False
Santakku,0x1213b,,False
Santakku,0x1213c,,False
Santakku,0x12142,IDIM,False
Santakku,0x12143,IDIM OVER IDIM BUR,False
Santakku,0x12144,,False
Santakku,0x12149,IGI OVER IGI SHIR OVER SHIR UD OVER UD,False
Santakku,0x1214c,IL TIMES GAN2 TENU,False
Santakku,0x1214f,IM TIMES TAK4,False
Santakku,0x12150,IM CROSSING IM,False
Santakku,0x12151,,False
Santakku,0x12152,IM SQUARED,False
Santakku,0x12153,IMIN,False
Santakku,0x12158,KA TIMES A,False
Santakku,0x12159,,False
Santakku,0x1215a,KA TIMES AD PLUS KU3,False
Santakku,0x1215b,KA TIMES ASH2,False
Santakku,0x1215c,KA TIMES BAD,False
Santakku,0x1215d,KA TIMES BALAG,False
Santakku,0x1215e,KA TIMES BAR,False
Santakku,0x1215f,,False
Santakku,0x12160,KA TIMES ERIN2,False
Santakku,0x12161,KA TIMES ESH2,False
Santakku,0x12162,KA TIMES GA,False
Santakku,0x12163,,False
Santakku,0x12166,KA TIMES GAR PLUS SHA3 PLUS A,False
Santakku,0x12167,,False
Santakku,0x12168,KA TIMES GIR2,False
Santakku,0x12169,,False
Santakku,0x1216a,KA TIMES GISH CROSSING GISH,False
Santakku,0x1216b,KA TIMES GU,False
Santakku,0x1216c,KA TIMES GUR7,False
Santakku,0x1216d,KA TIMES IGI,False
Santakku,0x1216e,KA TIMES IM,False
Santakku,0x1216f,KA TIMES KAK,False
Santakku,0x12170,KA TIMES KI,False
Santakku,0x12171,,False
Santakku,0x12172,KA TIMES LI,False
Santakku,0x12173,,False
Santakku,0x12174,KA TIMES ME,False
Santakku,0x12175,KA TIMES ME PLUS DU,False
Santakku,0x12176,KA TIMES ME PLUS GI,False
Santakku,0x12177,KA TIMES ME PLUS TE,False
Santakku,0x12178,KA TIMES MI,False
Santakku,0x12179,,False
Santakku,0x1217a,KA TIMES NE,False
Santakku,0x1217b,KA TIMES NUN,False
Santakku,0x1217c,KA TIMES PI,False
Santakku,0x1217d,KA TIMES RU,False
Santakku,0x1217e,KA TIMES SA,False
Santakku,0x1217f,KA TIMES SAR,False
Santakku,0x12180,KA TIMES SHA,False
Santakku,0x12181,KA TIMES SHE,False
Santakku,0x12182,KA TIMES SHID,False
Santakku,0x12183,KA TIMES SHU,False
Santakku,0x12184,KA TIMES SIG,False
Santakku,0x12185,,False
Santakku,0x12186,,False
Santakku,0x12187,KA TIMES U,False
Santakku,0x12188,KA TIMES U2,False
Santakku,0x12189,KA TIMES UD,False
Santakku,0x1218a,,False
Santakku,0x1218b,KA TIMES USH,False
Santakku,0x1218c,,False
Santakku,0x1218e,,False
Santakku,0x12190,KAD2,False
Santakku,0x12191,KAD3,False
Santakku,0x12193,KAD5,False
Santakku,0x12194,,False
Santakku,0x12196,,False
Santakku,0x12198,KAL TIMES BAD,False
Santakku,0x12199,KAL CROSSING KAL,False
Santakku,0x1219a,KAM2 (wrong!),False
Santakku,0x1219b,KAM4,False
