hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x120d8,True,False,False,True,True,False,True,True,GA2 TIMES KAK
0x120d9,True,False,False,True,True,False,True,True,GA2 TIMES KASKAL
0x120da,True,False,False,True,True,False,True,True,
0x120db,True,False,False,True,True,False,True,True,GA2 TIMES KID PLUS LAL
0x120dc,True,False,False,True,True,False,True,True,GA2 TIMES KU3 PLUS AN
0x120dd,True,False,False,True,True,False,True,True,
0x120de,True,False,False,True,True,True,True,True,GA2 TIMES ME PLUS EN
0x120df,True,False,False,True,True,False,True,True,GA2 TIMES MI(standard)
0x120e0,True,False,False,True,True,True,True,True,GA2 TIMES NUN
0x120e1,True,True,True,True,True,True,True,True,GA2 TIMES NUN OVER NUN
0x120e2,True,True,False,True,True,True,True,True,GA2 TIMES PA
0x120e3,True,False,False,True,True,True,True,True,GA2 TIMES SAL
0x120e4,True,False,False,True,True,True,True,True,GA2 TIMES SAR
0x120e5,True,False,False,True,True,True,True,True,GA2 TIMES SHE
0x120e6,True,False,False,True,True,False,True,True,GA2 TIMES SHE PLUS TUR
0x120e7,True,False,False,True,True,False,True,True,GA2 TIMES SHID
0x120e8,True,False,False,True,True,False,True,True,GA2 TIMES SUM
0x120e9,True,False,False,True,True,False,True,True,GA2 TIMES TAK4
0x120ea,True,False,False,True,True,False,True,True,GA2 TIMES U
0x120eb,True,False,False,True,True,False,True,True,GA2 TIMES UD
0x120ec,True,False,False,True,True,False,True,True,
0x120ed,True,False,False,True,True,False,True,True,
0x120ee,True,True,True,True,True,True,True,True,GABA
0x120ef,True,False,False,True,True,False,True,True,
0x120f0,True,True,True,True,True,True,True,True,GAD & TAK4 & GISH
0x120f1,True,False,False,True,True,False,True,True,GAD OVER GAD GAR OVER GAR
0x120f2,True,True,True,True,True,True,True,True,GAL
0x120f3,True,False,False,True,True,False,True,True,GAL GAD OVER GAD GAR OVER GAR
0x120f4,True,False,False,True,True,True,True,True,GALAM
0x120f5,True,True,False,True,True,True,True,True,GAM
0x120f6,True,True,True,True,True,True,True,True,GAN
0x120f7,True,True,True,True,True,True,True,True,GAN2
0x120f8,True,False,False,True,True,True,True,True,GAN2 TENU
0x120f9,True,False,False,True,True,False,True,True,GAN2 OVER GAN2
0x120fa,True,False,False,True,True,False,True,True,GAN2 CROSSING GAN2
0x120fb,True,True,True,True,True,True,True,True,GAR
0x120fc,True,True,True,True,True,True,True,True,GAR3
0x120fd,True,False,False,True,True,True,True,True,GASHAN
