font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Esagil,0x1202f,AN THREE TIMES,0.0245,9,1,,,model
Esagil,0x120e1,GA2 TIMES NUN OVER NUN,0.0219,15,1,,,model
Esagil,0x12119,GU2 TIMES KAK,0.0169,10,1,,,model
Esagil,0x12347,URU TIMES MIN,0.0217,7,1,,,model
Esagil,0x1234d,URU TIMES UD,0.0168,8,1,,,model
Assurbanipal,0x1208e,,0.0255,19,3,,,model
Assurbanipal,0x120b8,GA2 TIMES A PLUS DA PLUS HA,0.0255,19,3,,,model
Assurbanipal,0x120ce,GA2 TIMES GI4,0.0342,15,3,,,model
Assurbanipal,0x12243,NAGA OPPOSING NAGA,0.0283,15,2,,,model
Esagil,0x12014,AB TIMES U PLUS U PLUS U,0.0252,9,2,,,model
Assurbanipal,0x1201a,AB2 TIMES SHA3,0.0335,8,1,,,model
Assurbanipal,0x12024,AL TIMES HA,0.0326,11,1,,,model
Assurbanipal,0x1224a,NE TIMES UD,0.0341,12,1,,,model
Assurbanipal,0x122bb,SHE HU,0.0346,8,1,,,model
Assurbanipal,0x12307,TUK,0.0347,4,1,,,model
Esagil,0x122e9,SUR,0.0328,4,1,,,model
Assurbanipal,0x12180,KA TIMES SHA,0.0353,14,3,,,model
Assurbanipal,0x12012,AB TIMES LAGAB,0.0434,10,2,,,model
Esagil,0x12335,URI,0.0415,10,2,,,model
Assurbanipal,0x12202,LU2 TIMES GAN2 TENU,0.0389,16,1,,,model
Assurbanipal,0x1233c,URU TIMES GA,0.0375,11,1,,,model
Esagil,0x12158,KA TIMES A,0.0406,10,1,,,model
Esagil,0x12394,,0.0412,14,1,,,model
Esagil,0x12161,KA TIMES ESH2,0.05,13,3,,,model
Assurbanipal,0x12014,AB TIMES U PLUS U PLUS U,0.05,9,2,,,model
Assurbanipal,0x120b2,EZEN TIMES LU,0.05,16,2,,,model
Assurbanipal,0x1215a,KA TIMES AD PLUS KU3,0.05,18,2,,,model
Assurbanipal,0x1216e,KA TIMES IM,0.05,14,2,,,model
Assurbanipal,0x121bb,LAGAB TIMES A PLUS GAR,0.05,11,2,,,model
Assurbanipal,0x121ee,LAGAR TIMES SHE PLUS SUM,0.05,15,2,,,model
Assurbanipal,0x12256,NINDA2 TIMES GUD,0.05,10,2,,,model
Assurbanipal,0x1227b,PAD,0.05,5,2,,,model
Assurbanipal,0x122bd,SHE OVER SHE TAB OVER TAB GAR OVER GAR,0.05,20,2,,,model
Assurbanipal,0x12352,USH TIMES A,0.05,9,2,,,model
Esagil,0x1207a,DU,0.05,6,2,,,model
Esagil,0x12165,KA TIMES GAR,0.05,10,2,,,model
Esagil,0x12183,KA TIMES SHU,0.05,12,2,,,model
Esagil,0x121e5,LAGAB TIMES U,0.05,5,2,,,model
Esagil,0x121fb,LU,0.046,6,2,,,model
Assurbanipal,0x12023,AL TIMES GISH,0.05,9,1,,,model
Assurbanipal,0x12054,BUR2,0.0542,8,1,,,model
Assurbanipal,0x12087,DUN3 GUNU GUNU,0.05,11,1,,,model
Assurbanipal,0x12098,EN TIMES GAN2,0.05,11,1,,,model
Assurbanipal,0x120c9,GA2 TIMES EN,0.05,10,1,,,model
Assurbanipal,0x120dc,GA2 TIMES KU3 PLUS AN,0.05,13,1,,,model
Assurbanipal,0x12104,GI4,0.05,10,1,,,model
Assurbanipal,0x12105,GI4 OVER GI4,0.05,20,1,,,model
Assurbanipal,0x1210e,GIR3 TIMES LU PLUS IGI,0.05,14,1,,,model
Assurbanipal,0x12143,IDIM OVER IDIM BUR,0.05,11,1,,,model
Assurbanipal,0x1215e,KA TIMES BAR,0.05,9,1,,,model
Assurbanipal,0x12161,KA TIMES ESH2,0.05,13,1,,,model
Assurbanipal,0x12170,KA TIMES KI,0.05,14,1,,,model
Assurbanipal,0x1217d,KA TIMES RU,0.05,13,1,,,model
Assurbanipal,0x1217e,KA TIMES SA,0.05,12,1,,,model
Assurbanipal,0x12181,KA TIMES SHE,0.05,11,1,,,model
Assurbanipal,0x12183,KA TIMES SHU,0.05,12,1,,,model
Assurbanipal,0x12188,KA TIMES U2,0.05,14,1,,,model
Assurbanipal,0x12189,KA TIMES UD,0.05,10,1,,,model
Assurbanipal,0x121a7,KISH,0.05,6,1,,,model
Assurbanipal,0x121bf,LAGAB TIMES ASH ZIDA TENU,0.05,5,1,,,model
Assurbanipal,0x121c4,LAGAB TIMES GA,0.05,11,1,,,model
Assurbanipal,0x121d5,LAGAB TIMES LISH,0.05,6,1,,,model
Assurbanipal,0x121df,LAGAB TIMES SHU2,0.05,6,1,,,model
Assurbanipal,0x1220a,LU2 TIMES LAGAB,0.05,14,1,,,model
Assurbanipal,0x12268,,0.05,14,1,,,model
Assurbanipal,0x122a0,SAG TIMES SHID,0.05,13,1,,,model
Assurbanipal,0x122c5,SHID TIMES IM,0.05,13,1,,,model
Esagil,0x12087,DUN3 GUNU GUNU,0.05,11,1,,,model
Esagil,0x120b7,GA2,0.05,5,1,,,model
Esagil,0x1214b,IL,0.05,8,1,,,model
Esagil,0x121a5,KIN,0.05,8,1,,,model
Esagil,0x121d1,LAGAB TIMES KU3,0.05,9,1,,,model
Esagil,0x121e1,LAGAB TIMES SUM,0.05,11,1,,,model
Esagil,0x121f7,LI,0.0503,10,1,,,model
Esagil,0x12216,LU3,0.05,10,1,,,model
Esagil,0x1223f,NA2,0.05,10,1,,,model
Esagil,0x12328,UR,0.05,5,1,,,model
Assurbanipal,0x1200d,AB TIMES GAL,0.0614,11,1,,,model
Assurbanipal,0x120d5,GA2 TIMES HUB2,0.0639,11,1,,,model
Assurbanipal,0x12103,GI CROSSING GI,0.0554,14,1,,,model
Assurbanipal,0x121ed,LAGAR TIMES SHE,0.0605,8,1,,,model
Assurbanipal,0x1223a,MUSH3 TIMES A,0.0575,9,1,,,model
Assurbanipal,0x1228b,PIRIG TIMES KAL,0.0633,11,1,,,model
Esagil,0x1240c,,0.061,7,1,,,model
Esagil,0x1241b,,0.061,7,1,,,model
Assurbanipal,0x1201e,AK TIMES ERIN2,0.068,11,1,,,model
Assurbanipal,0x12335,URI,0.0712,14,1,,,model
Esagil,0x12471,,0.0722,2,1,,,model
Assurbanipal,0x1214f,IM TIMES TAK4,0.083,17,1,,,model
Esagil,0x12364,ZI OVER ZI & A,0.0815,12,1,,,model
