font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x12015,AB GUNU,model,9,0.0001,2,0.629,0,0,0,1.0,True
Assurbanipal,0x12028,AL TIMES USH,model,12,0.0,2,0.6786,1,0,0,1.0,True
Assurbanipal,0x12029,ALAN,model,21,0.0026,2,0.7618,0,0,0,1.0,True
Assurbanipal,0x1202c,AMAR TIMES SHE,model,8,0.0007,2,0.5106,1,0,0,1.0,True
Assurbanipal,0x1203d,ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH,model,7,0.0,2,0.5467,0,0,0,1.0,True
Assurbanipal,0x1203f,ASHGAB,model,6,0.0,2,0.5283,0,1,0,1.0,True
Assurbanipal,0x1204e,BU OVER BU AB,model,15,0.0,2,0.7584,0,0,0,1.0,True
Assurbanipal,0x12052,,model,14,0.0004,2,0.688,0,0,0,1.0,True
Assurbanipal,0x12058,DAG KISIM5 TIMES AMAR,model,16,0.0,2,0.6803,3,1,0,1.0,True
Assurbanipal,0x12063,DAG KISIM5 TIMES KAK,model,15,0.0011,2,0.7487,1,0,0,1.0,True
Assurbanipal,0x1206c,DAG KISIM5 TIMES U2 PLUS GIR2,model,24,0.0001,2,0.7182,1,0,0,1.0,True
Assurbanipal,0x1206d,DAG KISIM5 TIMES USH,model,17,0.0001,2,0.7605,0,0,0,1.0,True
Assurbanipal,0x1207b,DU OVER DU,model,10,0.0,2,0.6868,1,0,0,1.0,True
Assurbanipal,0x12088,DUN4,model,13,0.0003,2,0.6196,0,0,0,1.0,True
Assurbanipal,0x12099,EN TIMES GAN2 TENU,model,12,0.0006,2,0.7057,0,0,0,1.0,True
Assurbanipal,0x120ab,EZEN TIMES IGI GUNU,model,16,0.0005,2,0.7409,0,1,0,1.0,True
Assurbanipal,0x120b0,EZEN TIMES LAL TIMES LAL,model,13,0.0009,2,0.7394,0,0,0,1.0,True
Assurbanipal,0x120d1,GA2 TIMES HA PLUS LU PLUS ESH2,model,22,0.0,2,0.7273,0,1,0,1.0,True
Assurbanipal,0x120d4,GA2 TIMES HI PLUS LI,model,19,0.0015,2,0.6843,1,0,0,1.0,True
Assurbanipal,0x120df,GA2 TIMES MI(standard),model,10,0.0012,2,0.7104,0,0,0,1.0,True
Assurbanipal,0x120e6,GA2 TIMES SHE PLUS TUR,model,15,0.0026,2,0.7211,0,0,0,1.0,True
Assurbanipal,0x120e8,GA2 TIMES SUM,model,12,0.0,2,0.6636,0,1,0,1.0,True
Assurbanipal,0x1211f,GUD TIMES A PLUS KUR,model,9,0.0005,2,0.6397,0,0,0,1.0,True
Assurbanipal,0x12124,GUM TIMES SHE,model,9,0.0001,2,0.6097,0,0,0,1.0,True
Assurbanipal,0x12136,HI TIMES U,model,5,0.0001,2,0.5442,0,1,0,1.0,True
Assurbanipal,0x1216a,KA TIMES GISH CROSSING GISH,model,13,0.0003,2,0.6583,1,1,0,1.0,True
Assurbanipal,0x1216b,KA TIMES GU,model,13,0.0001,2,0.7207,0,0,0,1.0,True
Assurbanipal,0x12174,KA TIMES ME,model,9,0.0,2,0.6387,0,0,0,1.0,True
Assurbanipal,0x121a2,KI TIMES U,model,8,0.0018,2,0.5956,0,0,0,1.0,True
Assurbanipal,0x121c1,LAGAB TIMES BI,model,8,0.0002,2,0.4933,1,1,0,1.0,True
Assurbanipal,0x121d2,LAGAB TIMES KUL,model,8,0.0001,2,0.639,0,2,0,1.0,True
Assurbanipal,0x121db,LAGAB TIMES NE,model,13,0.0005,2,0.6796,0,1,0,1.0,True
Assurbanipal,0x121e8,LAGAB TIMES U2 PLUS ASH,model,12,0.001,2,0.7371,0,1,0,1.0,True
Assurbanipal,0x121ea,LAGAB TIMES USH,model,10,0.0002,2,0.6625,0,2,0,1.0,True
Assurbanipal,0x121f5,LAM TIMES KUR,model,9,0.0005,2,0.6408,1,0,0,1.0,True
Assurbanipal,0x121f8,LIL,model,11,0.0003,2,0.6536,0,1,0,1.0,True
Assurbanipal,0x1220c,LU2 TIMES NE,model,19,0.0009,2,0.7531,0,0,0,1.0,True
Assurbanipal,0x12216,LU3,model,9,0.0002,2,0.6716,0,1,0,1.0,True
Assurbanipal,0x12250,NIM TIMES GAN2 TENU,model,11,0.0004,2,0.6739,0,0,0,1.0,True
Assurbanipal,0x12264,NUN LAGAR TIMES GAR,model,13,0.0002,2,0.7303,0,0,0,1.0,True
Assurbanipal,0x12271,NUNUZ AB2 TIMES GUD,model,17,0.0001,2,0.7227,1,0,0,1.0,True
Assurbanipal,0x12274,NUNUZ AB2 TIMES LA,model,18,0.0,2,0.7656,1,0,0,1.0,True
Assurbanipal,0x122be,SHEG9,model,15,0.0,2,0.7244,0,1,0,1.0,True
Assurbanipal,0x122c6,SHIM,model,9,0.0001,2,0.5844,1,0,0,1.0,True
Assurbanipal,0x122c7,SHIM TIMES A,model,12,0.0009,2,0.6665,1,0,0,1.0,True
Assurbanipal,0x122ca,SHIM TIMES DIN,model,13,0.0017,2,0.6659,1,0,0,1.0,True
Assurbanipal,0x1232e,UR2 TIMES AL,model,13,0.0,2,0.6945,0,0,0,1.0,True
Assurbanipal,0x12340,URU TIMES GU,model,11,0.0,2,0.6174,0,1,0,1.0,True
Assurbanipal,0x12355,USH TIMES TAK4,model,16,0.0001,2,0.7336,1,1,0,1.0,True
Assurbanipal,0x1235a,UZ3,model,9,0.0,2,0.6086,0,0,0,1.0,True
Assurbanipal,0x12364,ZI OVER ZI & A,model,14,0.0013,2,0.7252,0,0,0,1.0,True
Assurbanipal,0x1237c,,model,16,0.0002,2,0.7516,0,0,0,1.0,True
Assurbanipal,0x1238b,,model,15,0.0,2,0.7337,0,0,0,1.0,True
Assurbanipal,0x12394,,model,15,0.0,2,0.7473,0,1,0,1.0,True
Assurbanipal,0x12396,,model,14,0.0005,2,0.6287,0,1,0,1.0,True
Esagil,0x12032,ANSHE,model,9,0.0001,2,0.686,0,0,0,0.15636,True
Esagil,0x12044,BAL,model,6,0.0001,2,0.5727,0,0,1,0.15616,True
Esagil,0x12046,BALAG,model,12,0.0027,2,0.7097,2,0,0,0.15622,True
Esagil,0x12049,BI,model,5,0.0048,2,0.3982,2,0,0,0.15556,True
Esagil,0x1207d,DU SHESHIG,model,9,0.0001,2,0.6243,0,0,0,0.15578,True
Esagil,0x12081,DUG,model,9,0.0,2,0.6219,2,0,0,0.1562,True
Esagil,0x120a6,EZEN TIMES BAD,model,10,0.0001,2,0.5777,1,1,0,0.15627,True
Esagil,0x120ee,GABA,model,8,0.0,2,0.5625,1,1,0,0.15658,True
Esagil,0x120f8,GAN2 TENU,model,6,0.0001,2,0.5836,0,0,1,0.15708,True
Esagil,0x12118,GU2 & UN,model,7,0.0012,2,0.6293,0,0,0,0.15584,True
Esagil,0x12130,HI TIMES BAD,model,6,0.0013,2,0.5828,1,0,0,0.1566,True
Esagil,0x12174,KA TIMES ME,model,9,0.0004,2,0.6578,0,0,0,0.156,True
Esagil,0x1217e,KA TIMES SA,model,13,0.0001,2,0.7213,0,0,0,0.156,True
Esagil,0x1219b,KAM4,model,12,0.0029,2,0.7046,0,0,0,0.15677,True
Esagil,0x121b0,KUL,model,4,0.0002,2,0.4523,1,0,0,0.15618,True
